[2025-09-18 12:32:55,917] 16 root - INFO - Initiate the data ingestion
[2025-09-18 12:33:04,635] 64 root - INFO - Performed train test split on the dataframe
[2025-09-18 12:33:04,635] 66 root - INFO - Exited split_data_as_train_test_test method of Data_Ingestion class
[2025-09-18 12:33:04,636] 74 root - INFO - Exporting train and test file path.
[2025-09-18 12:33:05,071] 84 root - INFO - Exported train and test file path
[2025-09-18 12:33:05,083] 18 root - INFO - Data initiation completed
[2025-09-18 12:33:05,112] 22 root - INFO - Initiate the data validation
[2025-09-18 12:33:05,287] 32 root - INFO - Required number of columns:2
[2025-09-18 12:33:05,288] 33 root - INFO - Data frame has columns:90
[2025-09-18 12:33:05,288] 32 root - INFO - Required number of columns:2
[2025-09-18 12:33:05,288] 33 root - INFO - Data frame has columns:90
